application_id,application_date,trial_type,study_title,sponsor_name,principal_investigator,trial_site,ethics_committee_approval_number,dcgi_permission_number,drug_name,generic_name,dosage_form,strength,reference_product,test_product,number_of_subjects,study_design,fasting_or_fed,start_date,end_date,adverse_events_reported,informed_consent_obtained,data_collection_purpose,sensitive_data_used,data_retention_period,anonymization_required,data_encryption,clinical_report_file,ethics_approval_file,digital_signature,declaration
BABE4000,2024-07-01,BA/BE Clinical Trial,Bioequivalence study of Ciprofloxacin formulation 0,Sun Pharma,Dr_0,NIMS Hyderabad,EC-66ZZ6L,,Ciprofloxacin,Ciprofloxacin,Capsule,20 mg,Ciprofloxacin Reference,Ciprofloxacin Test,37,"Randomized, Crossover",Fed,2025-09-15,2025-04-11,No,True,Bioequivalence Study,Health Data,5 years,True,False,report_0.pdf,ethics_0.pdf,SIGNED_MVQYRC,I hereby declare that the study complies with CDSCO guidelines
BABE4001,2021-10-06,BA/BE Clinical Trial,Bioequivalence study of Atorvastatin formulation 1,Lupin,Dr_1,NIMS Hyderabad,EC-TD8F7O,DCGI-CKHLS1,Atorvastatin,Atorvastatin,Capsule,650 mg,Atorvastatin Reference,Atorvastatin Test,40,"Randomized, Crossover",Fasting,2021-10-09,2022-07-04,Yes,True,Bioequivalence Study,Health Data,,False,True,report_1.pdf,ethics_1.pdf,SIGNED_WQ8U56,I hereby declare that the study complies with CDSCO guidelines
BABE4002,2025-02-04,BA/BE Clinical Trial,Bioequivalence study of Metformin formulation 2,Lupin,Dr_2,KEM Hospital Mumbai,,DCGI-GLNGKL,Metformin,Metformin,Tablet,500 mg,Metformin Reference,Metformin Test,30,"Randomized, Crossover",Fasting,2025-05-06,2021-03-17,Yes,True,Bioequivalence Study,Health Data,5 years,True,True,report_2.pdf,ethics_2.pdf,,I hereby declare that the study complies with CDSCO guidelines
BABE4003,2022-02-03,BA/BE Clinical Trial,Bioequivalence study of Telmisartan formulation 3,Torrent Pharma,Dr_3,JIPMER Puducherry,EC-1B5MCC,,Telmisartan,Telmisartan,Capsule,500 mg,Telmisartan Reference,Telmisartan Test,29,"Randomized, Crossover",Fed,2025-08-28,2024-12-14,Yes,True,Bioequivalence Study,Health Data,5 years,True,False,report_3.pdf,ethics_3.pdf,,I hereby declare that the study complies with CDSCO guidelines
BABE4004,2024-10-06,BA/BE Clinical Trial,Bioequivalence study of Ibuprofen formulation 4,Torrent Pharma,Dr_4,NIMS Hyderabad,,,Ibuprofen,Ibuprofen,Capsule,500 mg,Ibuprofen Reference,Ibuprofen Test,52,"Randomized, Crossover",Fasting,2022-11-29,2025-09-04,No,True,Bioequivalence Study,Health Data,,False,True,report_4.pdf,ethics_4.pdf,,I hereby declare that the study complies with CDSCO guidelines
BABE4005,2022-01-16,BA/BE Clinical Trial,Bioequivalence study of Telmisartan formulation 5,Sun Pharma,Dr_5,JIPMER Puducherry,,DCGI-H0YCK1,Telmisartan,Telmisartan,Tablet,500 mg,Telmisartan Reference,Telmisartan Test,41,"Randomized, Crossover",Fasting,2025-04-29,2022-11-23,Yes,True,Bioequivalence Study,Health Data,5 years,False,True,report_5.pdf,ethics_5.pdf,,I hereby declare that the study complies with CDSCO guidelines
BABE4006,2025-11-06,BA/BE Clinical Trial,Bioequivalence study of Metformin formulation 6,Lupin,Dr_6,JIPMER Puducherry,EC-XKUQ7J,DCGI-HPYZV0,Metformin,Metformin,Capsule,20 mg,Metformin Reference,Metformin Test,13,"Randomized, Crossover",Fasting,2025-06-30,INVALID_DATE,No,False,Bioequivalence Study,Health Data,5 years,True,True,report_6.pdf,ethics_6.pdf,SIGNED_8C2UUR,I hereby declare that the study complies with CDSCO guidelines
BABE4007,2021-12-16,BA/BE Clinical Trial,Bioequivalence study of Metformin formulation 7,Lupin,Dr_7,KEM Hospital Mumbai,EC-2YRTEJ,DCGI-2M3NBR,Metformin,Metformin,Tablet,500 mg,Metformin Reference,Metformin Test,56,"Randomized, Crossover",Fasting,2024-10-18,INVALID_DATE,Yes,False,Bioequivalence Study,Health Data,,False,True,report_7.pdf,ethics_7.pdf,SIGNED_30SZ11,I hereby declare that the study complies with CDSCO guidelines
BABE4008,2023-11-26,BA/BE Clinical Trial,Bioequivalence study of Atorvastatin formulation 8,Dr Reddy's,Dr_8,KEM Hospital Mumbai,EC-SMM0AY,,Atorvastatin,Atorvastatin,Tablet,10 mg,Atorvastatin Reference,Atorvastatin Test,13,"Randomized, Crossover",Fasting,2025-12-08,2022-02-06,No,True,Bioequivalence Study,Health Data,5 years,True,False,report_8.pdf,ethics_8.pdf,SIGNED_2ZMAYJ,I hereby declare that the study complies with CDSCO guidelines
BABE4009,2021-11-23,BA/BE Clinical Trial,Bioequivalence study of Pantoprazole formulation 9,Lupin,Dr_9,NIMS Hyderabad,,DCGI-G1K8U2,Pantoprazole,Pantoprazole,Capsule,20 mg,Pantoprazole Reference,Pantoprazole Test,14,"Randomized, Crossover",Fed,2021-11-24,2022-04-27,Yes,True,Bioequivalence Study,Health Data,5 years,True,True,report_9.pdf,ethics_9.pdf,,I hereby declare that the study complies with CDSCO guidelines
BABE4010,2021-04-18,BA/BE Clinical Trial,Bioequivalence study of Atorvastatin formulation 10,Sun Pharma,Dr_10,PGIMER Chandigarh,,DCGI-2MH8GB,Atorvastatin,Atorvastatin,Capsule,10 mg,Atorvastatin Reference,Atorvastatin Test,54,"Randomized, Crossover",Fasting,2022-01-05,2022-04-24,Yes,True,Bioequivalence Study,Health Data,,True,True,report_10.pdf,ethics_10.pdf,SIGNED_DUGDKF,I hereby declare that the study complies with CDSCO guidelines
BABE4011,2022-06-12,BA/BE Clinical Trial,Bioequivalence study of Ciprofloxacin formulation 11,Dr Reddy's,Dr_11,KEM Hospital Mumbai,EC-I9EM4L,DCGI-MVRIQM,Ciprofloxacin,Ciprofloxacin,Tablet,500 mg,Ciprofloxacin Reference,Ciprofloxacin Test,42,"Randomized, Crossover",Fed,2021-06-13,INVALID_DATE,No,False,Bioequivalence Study,Health Data,5 years,False,True,report_11.pdf,ethics_11.pdf,SIGNED_LSLNQ9,I hereby declare that the study complies with CDSCO guidelines
BABE4012,2025-10-19,BA/BE Clinical Trial,Bioequivalence study of Ciprofloxacin formulation 12,Lupin,Dr_12,NIMS Hyderabad,EC-B46L4T,,Ciprofloxacin,Ciprofloxacin,Tablet,500 mg,Ciprofloxacin Reference,Ciprofloxacin Test,30,"Randomized, Crossover",Fasting,2021-08-12,2023-01-16,Yes,True,Bioequivalence Study,Health Data,5 years,True,False,report_12.pdf,ethics_12.pdf,SIGNED_V9UKXW,I hereby declare that the study complies with CDSCO guidelines
BABE4013,2023-06-10,BA/BE Clinical Trial,Bioequivalence study of Metformin formulation 13,Cipla,Dr_13,PGIMER Chandigarh,EC-BM5P0E,,Metformin,Metformin,Capsule,500 mg,Metformin Reference,Metformin Test,44,"Randomized, Crossover",Fasting,2021-09-29,2023-07-04,No,True,Bioequivalence Study,Health Data,5 years,False,True,report_13.pdf,ethics_13.pdf,SIGNED_OF9CE3,I hereby declare that the study complies with CDSCO guidelines
BABE4014,2022-09-24,BA/BE Clinical Trial,Bioequivalence study of Amoxicillin formulation 14,Sun Pharma,Dr_14,PGIMER Chandigarh,,,Amoxicillin,Amoxicillin,Tablet,10 mg,Amoxicillin Reference,Amoxicillin Test,18,"Randomized, Crossover",Fasting,2021-01-14,2025-11-28,Yes,True,Bioequivalence Study,Health Data,5 years,True,False,report_14.pdf,ethics_14.pdf,SIGNED_GER7K0,I hereby declare that the study complies with CDSCO guidelines
BABE4015,2022-03-28,BA/BE Clinical Trial,Bioequivalence study of Ciprofloxacin formulation 15,Sun Pharma,Dr_15,NIMS Hyderabad,EC-804TUZ,DCGI-4BQ7DW,Ciprofloxacin,Ciprofloxacin,Tablet,20 mg,Ciprofloxacin Reference,Ciprofloxacin Test,25,"Randomized, Crossover",Fasting,2024-08-17,2021-10-01,Yes,True,Bioequivalence Study,Health Data,5 years,True,True,report_15.pdf,ethics_15.pdf,,I hereby declare that the study complies with CDSCO guidelines
BABE4016,2024-04-06,BA/BE Clinical Trial,Bioequivalence study of Amoxicillin formulation 16,Dr Reddy's,Dr_16,KEM Hospital Mumbai,EC-E7R38M,,Amoxicillin,Amoxicillin,Tablet,500 mg,Amoxicillin Reference,Amoxicillin Test,36,"Randomized, Crossover",Fasting,2021-12-30,2025-04-30,Yes,True,Bioequivalence Study,Health Data,5 years,False,False,report_16.pdf,ethics_16.pdf,SIGNED_ARZHNM,I hereby declare that the study complies with CDSCO guidelines
BABE4017,2025-05-13,BA/BE Clinical Trial,Bioequivalence study of Paracetamol formulation 17,Sun Pharma,Dr_17,NIMS Hyderabad,EC-3C179K,,Paracetamol,Acetaminophen,Capsule,10 mg,Paracetamol Reference,Paracetamol Test,18,"Randomized, Crossover",Fed,2025-03-22,2024-04-25,Yes,True,Bioequivalence Study,Health Data,5 years,True,False,report_17.pdf,ethics_17.pdf,SIGNED_YY0T1N,I hereby declare that the study complies with CDSCO guidelines
BABE4018,2024-08-15,BA/BE Clinical Trial,Bioequivalence study of Pantoprazole formulation 18,Dr Reddy's,Dr_18,JIPMER Puducherry,EC-HWNTET,,Pantoprazole,Pantoprazole,Capsule,10 mg,Pantoprazole Reference,Pantoprazole Test,17,"Randomized, Crossover",Fasting,2022-07-30,2023-05-16,Yes,True,Bioequivalence Study,Health Data,5 years,True,False,report_18.pdf,ethics_18.pdf,,I hereby declare that the study complies with CDSCO guidelines
BABE4019,2025-01-27,BA/BE Clinical Trial,Bioequivalence study of Atorvastatin formulation 19,Cipla,Dr_19,AIIMS New Delhi,,DCGI-E7LT4K,Atorvastatin,Atorvastatin,Capsule,500 mg,Atorvastatin Reference,Atorvastatin Test,30,"Randomized, Crossover",Fed,2023-12-12,2021-05-01,No,True,Bioequivalence Study,Health Data,5 years,False,True,report_19.pdf,ethics_19.pdf,,I hereby declare that the study complies with CDSCO guidelines
BABE4020,2025-06-13,BA/BE Clinical Trial,Bioequivalence study of Amlodipine formulation 20,Cipla,Dr_20,PGIMER Chandigarh,EC-OXPTLR,DCGI-FPK5JG,Amlodipine,Amlodipine,Capsule,650 mg,Amlodipine Reference,Amlodipine Test,38,"Randomized, Crossover",Fed,2021-08-08,2025-11-20,Yes,True,Bioequivalence Study,Health Data,,False,False,report_20.pdf,ethics_20.pdf,SIGNED_YCMYVU,I hereby declare that the study complies with CDSCO guidelines
BABE4021,2023-04-15,BA/BE Clinical Trial,Bioequivalence study of Paracetamol formulation 21,Lupin,Dr_21,JIPMER Puducherry,EC-OHNPEG,DCGI-7U8GCD,Paracetamol,Acetaminophen,Capsule,650 mg,Paracetamol Reference,Paracetamol Test,39,"Randomized, Crossover",Fasting,2022-11-15,2022-06-23,No,True,Bioequivalence Study,Health Data,5 years,False,False,report_21.pdf,ethics_21.pdf,,I hereby declare that the study complies with CDSCO guidelines
BABE4022,2025-11-02,BA/BE Clinical Trial,Bioequivalence study of Metformin formulation 22,Dr Reddy's,Dr_22,JIPMER Puducherry,,DCGI-I6U3EA,Metformin,Metformin,Capsule,20 mg,Metformin Reference,Metformin Test,32,"Randomized, Crossover",Fed,2025-06-07,2024-07-24,Yes,True,Bioequivalence Study,Health Data,,True,True,report_22.pdf,ethics_22.pdf,,I hereby declare that the study complies with CDSCO guidelines
BABE4023,2022-03-31,BA/BE Clinical Trial,Bioequivalence study of Paracetamol formulation 23,Torrent Pharma,Dr_23,AIIMS New Delhi,EC-LPS5G0,DCGI-A2PERL,Paracetamol,Acetaminophen,Capsule,500 mg,Paracetamol Reference,Paracetamol Test,19,"Randomized, Crossover",Fasting,2025-10-21,INVALID_DATE,No,False,Bioequivalence Study,Health Data,5 years,True,True,report_23.pdf,ethics_23.pdf,,I hereby declare that the study complies with CDSCO guidelines
BABE4024,2022-12-27,BA/BE Clinical Trial,Bioequivalence study of Pantoprazole formulation 24,Dr Reddy's,Dr_24,KEM Hospital Mumbai,EC-41JM4K,DCGI-J6N8WV,Pantoprazole,Pantoprazole,Tablet,500 mg,Pantoprazole Reference,Pantoprazole Test,21,"Randomized, Crossover",Fasting,2025-06-26,INVALID_DATE,Yes,False,Bioequivalence Study,Health Data,,True,False,report_24.pdf,ethics_24.pdf,,I hereby declare that the study complies with CDSCO guidelines
