R&D Registration Number,Organization Name,Pincode,Product Category,Dosage Form,Research Area,Number of Scientists,Pilot Plant Available,Analytical Equipment,Stability Chambers,Tech Transfer Available,Annual Batch Capacity,Regulatory Markets,GMP Certified
RND001,BioPharm Labs,411001,Pharmaceutical,Tablet,Oncology,25.0,Yes,HPLC,Yes,Yes,50000,"India, EU",Yes
,Meditech Research,400001,Biotech,Injection,Vaccines,,Yes,GC-MS,Yes,No,30000,India,Yes
RND003,CureGenix,560001,Pharmaceutical,Capsule,Cardiology,40.0,No,HPLC,No,Yes,45000,"US, India",No
RND004,Nova Labs,999999,Herbal,Syrup,Ayurveda,15.0,Yes,,Yes,Yes,20000,India,Yes
,Zenith Pharma,110001,Pharmaceutical,Tablet,Neurology,,No,UV Spectrometer,Yes,No,35000,EU,Yes
RND006,LifeCare R&D,600001,Biotech,Injection,Genetics,60.0,Yes,HPLC,Yes,Yes,80000,"US, EU",Yes
RND007,HealWell Labs,700001,Pharmaceutical,Ointment,Dermatology,20.0,Yes,GC-MS,No,Yes,15000,India,No
RND008,BioNova,411999,Biotech,Injection,Immunology,,Yes,HPLC,Yes,Yes,60000,"India, US",Yes
,GreenCure,500001,Herbal,Powder,Ayurveda,10.0,No,,No,No,10000,India,No
RND010,PharmaNext,380001,Pharmaceutical,Tablet,Diabetes,35.0,Yes,HPLC,Yes,Yes,70000,US,Yes
RND011,MediCore,411002,Pharmaceutical,Capsule,Oncology,,Yes,GC-MS,Yes,No,50000,India,Yes
RND012,BioAxis,122001,Biotech,Injection,Vaccines,55.0,Yes,HPLC,Yes,Yes,90000,Global,Yes
,NutraHealth,600999,Nutraceutical,Tablet,Nutrition,12.0,No,,No,No,20000,India,No
RND014,Wellness Labs,700002,Herbal,Oil,Ayurveda,18.0,Yes,UV Spectrometer,Yes,Yes,25000,India,Yes
RND015,GenX Pharma,411003,Pharmaceutical,Injection,Genetics,45.0,Yes,HPLC,Yes,Yes,85000,"US, EU",Yes
,CurePlus,500002,Pharmaceutical,Tablet,Cardiology,,No,GC-MS,Yes,No,40000,India,Yes
RND017,BioFuture,380002,Biotech,Injection,Stem Cells,70.0,Yes,HPLC,Yes,Yes,95000,Global,Yes
RND018,HerboLife,110002,Herbal,Capsule,Ayurveda,8.0,No,,No,No,15000,India,No
RND019,MediNova,560002,Pharmaceutical,Tablet,Neurology,30.0,Yes,HPLC,Yes,Yes,60000,EU,Yes
,PharmaEdge,411004,Pharmaceutical,Syrup,Pediatrics,,Yes,UV Spectrometer,Yes,Yes,30000,India,Yes
RND021,BioGen,122002,Biotech,Injection,Oncology,65.0,Yes,HPLC,Yes,Yes,100000,"US, EU",Yes
RND022,NutriCare,400002,Nutraceutical,Powder,Nutrition,14.0,No,,No,No,18000,India,No
,ZenBio,600002,Biotech,Injection,Immunology,,Yes,GC-MS,Yes,Yes,75000,Global,Yes
RND024,CureLife,700003,Pharmaceutical,Tablet,Diabetes,28.0,Yes,HPLC,Yes,Yes,55000,"India, EU",Yes
RND025,HerbalCare,999000,Herbal,Oil,Ayurveda,5.0,No,,No,No,12000,India,No
